Geo_Shape,Distance,Departure_PTCAR_ID,Arrival_PTCAR_ID,Departure_Name_FR,Departure_Geo_Point,Departure_Classement_FR,Arrival_Name_FR,Arrival_Geo_Point,Arrival_Classement_FR,disabled
"[[51.078708344787216, 2.654140285486824], [51.079014597791634, 2.653182571738422], [51.07936554533612, 2.652004034062526], [51.0796756139145, 2.650701940217319], [51.0798871393912, 2.649428643793769], [51.08000758097158, 2.648248540116798], [51.08006402171194, 2.646987282317931], [51.08005519094273, 2.645896501566664], [51.07996188400038, 2.644200647365944], [51.0799081379019, 2.643355237656416], [51.07984990458664, 2.642591289038447], [51.07979372620694, 2.642017612876421], [51.07977597015657, 2.641825079412087], [51.079754214261634, 2.641563663144902], [51.07972846301078, 2.641192553761445], [51.07970988957509, 2.640873796466261], [51.07966141292107, 2.640013514456825], [51.078469561880425, 2.62128617957738], [51.07726613110536, 2.602401090227277]]",3.66936172376233,643,13,Koksijde,"51.07870834338987, 2.654140285690531",Point darrêt,La Panne,"51.07726612970765, 2.602401090431061",Gare,0
"[[50.42954055375694, 4.58437648551442], [50.4296067759893, 4.583979073860021], [50.42983287213481, 4.582893333834697], [50.4301041126191, 4.581868448763207], [50.430408418573315, 4.580922659735678], [50.430774552550346, 4.579962004372869], [50.4310659268755, 4.579296716447582], [50.431373273759284, 4.578669963456596], [50.43173209150293, 4.577992665072642], [50.43350093155341, 4.574737190806568], [50.43384972120637, 4.573997760102985], [50.434100176334795, 4.573391661537801], [50.43435140136952, 4.572688275497804], [50.43463164647175, 4.571757582700923], [50.434872144299355, 4.570750979708614], [50.4350681738454, 4.569667955171378], [50.43519791611348, 4.56867374361676], [50.43527507506525, 4.567799516029663], [50.43532188605503, 4.56653010959831], [50.43530340256671, 4.565399502089475], [50.43524415971708, 4.564388515200348], [50.43512894789069, 4.563294462236097], [50.43499302237814, 4.562430966866739], [50.4348470482346, 4.561713263499509], [50.434595329904006, 4.560705450531988], [50.43433537251906, 4.559822158193649], [50.434108176355004, 4.55916026656411], [50.43382391484787, 4.558445978322035], [50.433511270231875, 4.557755925079145], [50.433140794873474, 4.557028144619317], [50.43254848217298, 4.556020169186348], [50.43191488625104, 4.555129443330621], [50.431440243485454, 4.554568510287483], [50.43097457089598, 4.554088553394545], [50.43051472997725, 4.553671544981169], [50.42914428371283, 4.552667151670981]]",2.7331826844654503,392,16,Farciennes,"50.42914428231437, 4.552667151871713",Point darrêt,Aiseau,"50.429540552358695, 4.584376485715092",Point darrêt,0
"[[50.432082424904884, 4.608866937173084], [50.43201303967736, 4.608725576986676], [50.43159097216161, 4.607775616489837], [50.43122757394986, 4.606796481132641], [50.43091010125088, 4.605754816894782], [50.43065399912464, 4.604702987100761], [50.43043112732167, 4.603485744024892], [50.43027570420822, 4.602207127820055], [50.42937610155686, 4.590924329921404], [50.429293727140085, 4.589666533171474], [50.429265235836624, 4.588859091189965], [50.42926272600861, 4.587740022287389], [50.429303762797794, 4.586597509166524], [50.42934655864748, 4.585973997323661], [50.42954055375694, 4.58437648551442]]",1.79604370104547,1125,16,Tamines,"50.43208242350686, 4.608866937373713",Gare,Aiseau,"50.429540552358695, 4.584376485715092",Point darrêt,0
"[[50.81768876585601, 5.176520546000158], [50.81860545719631, 5.177959134511731], [50.819322867433904, 5.178992950868268], [50.82527317431442, 5.185803080454615], [50.826474456534115, 5.187293270465387], [50.82750757938456, 5.188722901871838], [50.82849141617853, 5.190229876636318], [50.82941645943255, 5.191797846090445], [50.83026006060501, 5.193380843718778], [50.83102333517809, 5.194954465506099], [50.83170929157036, 5.196512864717421], [50.83239389666322, 5.198233828973615], [50.833011732807506, 5.199960050738095], [50.833597500218154, 5.201780225949767], [50.83793507011037, 5.215987728152827], [50.83873297009667, 5.218206477735675], [50.83944245063074, 5.219955802713316], [50.84016602133975, 5.221569062151275], [50.840919818672305, 5.223096452412239], [50.84190103377443, 5.22489014605505], [50.84296014483315, 5.226625346398376], [50.86354663133923, 5.256477570723519], [50.87705099011754, 5.276119126774869], [50.87877210753089, 5.278740340451433], [50.880461809632685, 5.281555608788991], [50.88379157562525, 5.287294220512398], [50.8864002359279, 5.291749444935054]]",11.2556227761405,1090,19,Saint-Trond,"50.817688764469715, 5.176520546199805",Gare,Alken,"50.886400234543814, 5.2917494451345",Gare,0
"[[50.886400235927916, 5.291749444935055], [50.89927450228155, 5.314047366796624], [50.900049447315126, 5.31533551028734], [50.90090166117191, 5.316661013139991], [50.90243782749885, 5.318847330644177], [50.90405006254274, 5.320888679037786], [50.914685905368145, 5.33318952501775], [50.91560839850202, 5.334171281513306], [50.91650789567292, 5.334931385064159], [50.91745704882469, 5.335550748801882], [50.91849780666627, 5.336039333529831], [50.919519226285196, 5.33634342970949], [50.9207457351748, 5.336502573231739], [50.92195373411696, 5.336480564763002], [50.922919609845245, 5.336281026489187], [50.92380812700771, 5.335906708621571], [50.924603765612154, 5.335413468444565], [50.92794766712829, 5.333030207325833], [50.92880037008295, 5.332258732814477], [50.92911516173272, 5.331830826690108], [50.9294363736619, 5.331233691304475], [50.93094539063631, 5.326071324066098]]",6.49428614587748,523,19,Hasselt,"50.93094538925335, 5.326071324265482",Gare,Alken,"50.886400234543814, 5.2917494451345",Gare,0
"[[50.554248597433784, 5.331294580631758], [50.54892258168859, 5.324881498882051], [50.547185555797306, 5.322605250323305], [50.545921916036086, 5.320609487870709]]",1.19794582976461,530,22,Haute-Flône,"50.55424859604318, 5.331294580831143",Point darrêt,Amay,"50.545921914645234, 5.320609488070113",Gare,0
"[[50.545921916036086, 5.320609487870708], [50.545707068682155, 5.32023489711634], [50.54511129986992, 5.319121552362948], [50.54414893766577, 5.317062369469267], [50.54364804051174, 5.315849202385924], [50.54280961059975, 5.313523493677253], [50.54215808115467, 5.311355594503991], [50.54164815640974, 5.309316494600899], [50.541247877745754, 5.307395378548534], [50.540916505001164, 5.305398838967891], [50.539173758229865, 5.288862316887596]]",2.41468695378358,24,22,Ampsin,"50.539173756838665, 5.288862317087052",Point darrêt,Amay,"50.545921914645234, 5.320609488070113",Gare,0
"[[50.545921916036086, 5.320609487870708], [50.545707068682155, 5.32023489711634], [50.54511129986992, 5.319121552362948], [50.54414893766577, 5.317062369469267], [50.54364804051174, 5.315849202385924], [50.54280961059975, 5.313523493677253], [50.54215808115467, 5.311355594503991], [50.54164815640974, 5.309316494600899], [50.541247877745754, 5.307395378548534], [50.540916505001164, 5.305398838967891], [50.539173758229865, 5.288862316887596]]",2.41468695378358,22,24,Amay,"50.545921914645234, 5.320609488070113",Gare,Ampsin,"50.539173756838665, 5.288862317087052",Point darrêt,0
"[[50.539173758229865, 5.288862316887596], [50.5383199378874, 5.280494592352272], [50.53811719948776, 5.278056946975546], [50.53801987971524, 5.275589532388213], [50.538019297162535, 5.273572958512381], [50.53807054928015, 5.272055731895439], [50.53817869013548, 5.269569253348465], [50.538246622139525, 5.261532767702868], [50.53821783022066, 5.260691047389051], [50.53815468425433, 5.259920207114255], [50.53799827791533, 5.258834633091671], [50.53775097869175, 5.257658902571769], [50.53739234811738, 5.256266800950772], [50.53695496048662, 5.254949001461294], [50.53495316093123, 5.249380705141125], [50.5337266758942, 5.24574937204934], [50.533302784295905, 5.24472529359389], [50.532836219982585, 5.243779297396159], [50.53214340254908, 5.242604782936967], [50.52996154003108, 5.239200285133205], [50.529357583132345, 5.238147859759418], [50.527376421412576, 5.234037173214918]]",4.27848800719017,592,24,Huy,"50.527376420020765, 5.23403717341447",Gare,Ampsin,"50.539173756838665, 5.288862317087052",Point darrêt,0
"[[50.52248172084146, 5.191103060084087], [50.52231126328318, 5.190811140731633], [50.52137029653019, 5.189071658438638], [50.52074060987216, 5.187766346655688], [50.52005657517753, 5.186183726948461], [50.519375269498624, 5.184407579939156], [50.51874684296307, 5.182574224469925], [50.51809496294162, 5.18039996160296], [50.515435296962075, 5.169890254843563], [50.5149707093299, 5.167862748964842], [50.514572877126064, 5.165823647397328], [50.514168153845965, 5.163228485805595], [50.513941700948465, 5.161337754075364], [50.51379200210111, 5.15972889133203], [50.513412444683276, 5.153664336469403], [50.51320159510469, 5.151471727064531], [50.513003021807265, 5.150049272727024], [50.512765931527866, 5.148676673436514], [50.512491150193476, 5.147351689379152], [50.51216236084389, 5.14600038340388], [50.508408707675414, 5.132233207975702], [50.50791976734187, 5.130763374743274], [50.50215386161329, 5.116187788994287], [50.49860435786321, 5.106689661509419], [50.49824224541897, 5.10547933740986], [50.49786979898294, 5.103996054149126], [50.49760023148966, 5.102705170588954], [50.497393915755005, 5.101466191913934], [50.497219640815445, 5.10016043221947], [50.496828765415096, 5.095965480077196]]",7.41705407778493,118,25,Bas-Oha,"50.52248171944925, 5.191103060283717",Point darrêt,Andenne,"50.496828764021714, 5.095965480276991",Gare,0
