PTCAR_ID,Name_FR,Geo_Point,Classification_FR
805,Masnuy-Saint-Pierre,"50.536335795046575, 3.962143547161489",Point darrêt
957,Pepinster-Cité,"50.56337539099574, 5.8045957193495",Point darrêt
539,Heide,"51.36538373642792, 4.460868704967868",Point darrêt
751,Londerzeel,"51.00941362622565, 4.296896134000722",Gare
630,Kalmthout,"51.389739415445185, 4.46670091137468",Gare
13,La Panne,"51.07726612970765, 2.602401090431061",Gare
336,Duffel,"51.09168432782911, 4.492767295536145",Point darrêt
590,Hove,"51.15406191650753, 4.465214254348258",Point darrêt
724,Lichtervelde,"51.02521217594557, 3.126819221090459",Gare
327,Dixmude,"51.032885049064205, 2.869519746692597",Gare
368,Erps-Kwerps,"50.896545056704085, 4.584930600937599",Point darrêt
520,Harelbeke,"50.85629094402423, 3.314655511162007",Point darrêt
160,Bissegem,"50.8257932751871, 3.224088412020454",Point darrêt
1234,Wetteren,"51.00149928945725, 3.881915593020351",Gare
412,Fontaine-Valmont,"50.32086424519657, 4.21151353952078",Point darrêt
457,Genval,"50.72646756043229, 4.513841931131038",Gare
391,Familleureux,"50.51941150097654, 4.211654529758689",Point darrêt
201,Bracquegnies,"50.474362121919384, 4.126350513837885",Gare
585,Hourpes,"50.363714773705595, 4.308770799275703",Gare
860,Moortsele,"50.95295090201298, 3.780982223267353",Point darrêt
474,Gontrode,"50.979840155563366, 3.801555019245788",Point darrêt
1134,Testelt,"51.009863920558466, 4.945833786795244",Gare
1189,Villers-la-Ville,"50.57809064902876, 4.533500041466839",Point darrêt
542,Heizijde,"50.988898042508765, 4.157254202190265",Point darrêt
1068,Serskamp,"50.984538007362964, 3.959538984371438",Point darrêt
272,Ciney,"50.29201497447142, 5.090696575707204",Gare
143,Beverlo,"51.08864300032292, 5.234550995194767",Point darrêt
107,Balen,"51.16831361158987, 5.166049651817693",Point darrêt
583,Houraing,"50.7028815000323, 3.835231437910581",Point darrêt
553,Herent,"50.90358929116853, 4.672141055873005",Point darrêt
567,Heverlee,"50.86227660628583, 4.694460963488205",Point darrêt
1176,Vertrijk,"50.83594652783853, 4.836594370994312",Gare
158,Binche,"50.40856385331328, 4.172759557331415",Gare
752,Neufchâteau,"49.85424515919912, 5.452480885743121",Gare
1152,Torhout,"51.06471224939062, 3.105750907311675",Point darrêt
378,Essene-Lombeek,"50.88239869074807, 4.115166601258688",Point darrêt
728,Liège-Carré,"50.64016116909001, 5.561580820913395",Point darrêt
1063,Sclessin,"50.610365174257474, 5.556695078909727",Point darrêt
562,Herstal,"50.66038889474057, 5.622362799779907",Gare
635,Kessel,"51.15105600022894, 4.618457995416029",Point darrêt
142,Berlaar,"51.113708436411315, 4.638257976114972",Point darrêt
470,Glons,"50.750527351252245, 5.5352369345989",Point darrêt
1149,Tilly,"50.55665902409977, 4.551641295273522",Gare
203,Braine-lAlleud,"50.68475914121906, 4.375823445224943",Gare
911,Nivelles,"50.60049325778275, 4.335288481642557",Gare
153,Bierges-Walibi,"50.70765177681452, 4.595155144998523",Point darrêt
1081,Saint-Job,"50.79358621212648, 4.36042954610276",Point darrêt
578,Holleken,"50.76701516164596, 4.35477080401788",Gare
1167,Uccle-Calevoet,"50.79221449416178, 4.331745965549022",Point darrêt
1723,Zeebrugge-Strand,"51.32448248926547, 3.186399065269261",Gare
1262,Zeebrugge-Dorp,"51.32659216067896, 3.196840129905106",Gare
1666,Overpelt,"51.215549621570986, 5.423126886433697",Point darrêt
634,Kapelle-op-den-Bos,"51.01082712199768, 4.358811373050316",Point darrêt
148,Beuzet,"50.53297498103598, 4.750194076054755",Point darrêt
1839,Noorderkempen,"51.35805994024289, 4.63402949117758",Gare
472,Godinne,"50.34885062327189, 4.869974118156255",Point darrêt
611,Jambes,"50.4539791185686, 4.875468217784547",Gare
919,Obaix-Buzet,"50.53576499767921, 4.363632083487843",Point darrêt
286,Courcelles-Motte,"50.4620298596236, 4.400412086654576",Gare
496,Habay,"49.71825436971725, 5.632255946957877",Gare
894,Namêche,"50.47027956863485, 4.998429583816083",Gare
413,Forchies,"50.43312875598628, 4.32347282841663",Point darrêt
127,Beernem,"51.1279843499516, 3.329867037955108",Gare
291,Couvin,"50.05779956678534, 4.492998249976199",Gare
961,Philippeville,"50.19161271107731, 4.536051971126212",Gare
788,Marche-en-Famenne,"50.222535391457356, 5.346178447642496",Point darrêt
902,Neufvilles,"50.54352319565535, 4.010763312579896",Point darrêt
35,Antoing,"50.56964806602561, 3.451351534421772",Gare
246,Callenelle,"50.52731158521195, 3.526278070876151",Point darrêt
811,Malines-Nekkerspoel,"51.0300117052638, 4.490206757726317",Gare
1245,Willebroek,"51.06641691258512, 4.356072252457586",Gare
826,Mérode,"50.83993055256729, 4.399590549319555",Point darrêt
654,Kwatrecht,"50.99155009915313, 3.833335262697952",Point darrêt
151,Beveren(Waes),"51.208473875488636, 4.260777895363429",Point darrêt
189,Boondael,"50.80195188823009, 4.393613977738645",Point darrêt
436,Geel,"51.16905254847813, 4.989631494392612",Gare
750,Lommel,"51.211527122666595, 5.310537299329511",Point darrêt
821,Merchtem,"50.953912936600325, 4.223681249482118",Point darrêt
74,Asse,"50.906702570375934, 4.208230395327966",Gare
399,Fexhe-le-Haut-Clocher,"50.66429943269758, 5.397266518195518",Point darrêt
908,Nimy,"50.47176943401611, 3.956539830074179",Point darrêt
615,Jemappes,"50.45256323571244, 3.885169785512608",Gare
250,Carnières,"50.44790380864625, 4.26440662547954",Point darrêt
1076,Sint-Denijs-Boekel,"50.87419888855042, 3.698421279748864",Point darrêt
789,Marche-les-Dames,"50.48071886041021, 4.964576135562873",Point darrêt
995,Rhisnes,"50.499300490166455, 4.801803854268886",Point darrêt
1368,Hamont,"51.24610100030596, 5.541909995101336",Gare
384,Ezemaal,"50.77212949643041, 4.994219913471169",Gare
684,Landen,"50.7478945451352, 5.079627434938354",Gare
956,Pepinster,"50.56851509026457, 5.810268537487914",Gare
421,Fraipont,"50.56512345386286, 5.723431942052398",Point darrêt
188,Boom,"51.09092845737537, 4.360441526124895",Gare
199,Bouwel,"51.165843512547234, 4.74758182017099",Point darrêt
535,Havré,"50.47086130234167, 4.058356446872188",Point darrêt
554,Herentals,"51.18107296514773, 4.828554945808171",Gare
975,Profondsart,"50.6938459795017, 4.549496108521898",Point darrêt
762,Louvain-la-Neuve,"50.66994236427151, 4.616284940684052",Gare
1060,Schoonaarde,"51.00313856979093, 4.011262908294323",Point darrêt
1013,Renaix,"50.74236654303611, 3.602611083249847",Gare
348,Eine,"50.87100089362744, 3.623822544187481",Point darrêt
66,Anzegem,"50.8262160325938, 3.495470092200613",Gare
1082,Sint-Joris-Weert,"50.80129671740569, 4.651860787304721",Gare
1177,Verviers-Central,"50.587801912897746, 5.854635277451281",Gare
629,Juslenville,"50.54452335104763, 5.810241413321089",Point darrêt
1254,Yves-Gomezée,"50.237995848837336, 4.490419768274312",Point darrêt
1207,Walcourt,"50.25862330620038, 4.435775728492839",Gare
192,Bornem,"51.098985014071545, 4.240696491019956",Point darrêt
171,Bleret,"50.68531330036154, 5.2860610645119",Point darrêt
84,Aywaille,"50.47281502444683, 5.672503602694142",Gare
1157,Trois-Ponts,"50.36928440608179, 5.873340705634188",Gare
229,Buda,"50.908089412622374, 4.417587678276544",Point darrêt
1253,Wichelen,"51.001758502599706, 3.974883903343649",Point darrêt
601,Idegem,"50.80168578977624, 3.921425440985026",Point darrêt
326,Diest,"50.99342002198607, 5.050066472691095",Gare
1058,Schellebelle,"51.0031261630312, 3.921433078084123",Gare
138,Belsele,"51.15105293281537, 4.088971326009601",Point darrêt
873,Munkzwalm,"50.875656664672775, 3.73151420520436",Point darrêt
316,De Hoek,"50.73924115695371, 4.370342369078159",Point darrêt
1843,Evergem,"51.107543095465154, 3.701533162098892",Point darrêt
423,Franchimont,"50.52521135808136, 5.822584900074045",Point darrêt
459,Spa-Géronstère,"50.489275844991575, 5.866227582590074",Gare
984,Quiévrain,"50.41023300621153, 3.685859499053529",Gare
1161,Turnhout,"51.323270000207955, 4.938189995320892",Gare
432,Gammerages,"50.74402497316743, 3.96495648670834",Point darrêt
331,Dolhain-Gileppe,"50.62692514885065, 5.938686465712419",Point darrêt
477,Gouvy,"50.18945222346999, 5.953995904124524",Gare
502,Halanzy,"49.555971760279775, 5.74222891161948",Gare
70,Arlon,"49.6799712091417, 5.810609706149933",Gare
346,Eeklo,"51.180615697469946, 3.575419009429565",Gare
1091,Sleidinge,"51.126433936476886, 3.667545364708063",Point darrêt
382,Eupen,"50.635305333939606, 6.037148398074383",Gare
820,Menin,"50.79946001751335, 3.113887199533723",Gare
507,Hambos,"50.944395572789574, 4.663253957979473",Point darrêt
565,Heusden,"51.038313764132226, 5.280683551760488",Point darrêt
376,Essen,"51.46273699530374, 4.451116949303227",Gare
899,Neerpelt,"51.2223754782048, 5.437315566032002",Gare
78,Athus,"49.56385476097767, 5.829224589707236",Gare
