PTCAR_ID,Name_FR,Geo_Point,Classification_FR
187,Booischot,"51.03749946330419, 4.772796366590497",Point darrêt
612,Jamioulx,"50.35310475319605, 4.411235098809759",Gare
514,Ham-sur-Heure,"50.32054157378973, 4.405047354851639",Point darrêt
518,Hansbeke,"51.07270818371244, 3.537446874269557",Point darrêt
8,Aalter,"51.092257790002506, 3.447855383142661",Gare
1073,Sinaai,"51.14350069973955, 4.068856389295283",Point darrêt
1088,Saint-Nicolas,"51.17159935147066, 4.143282196539995",Gare
2184,DEURNESTWG,"51.182464, 4.447158",Gare
863,Mortsel,"51.18289070835871, 4.448811508068692",Point darrêt
877,Mortsel-Liersesteenweg,"51.169548576050914, 4.469151255230457",Point darrêt
64,Anvers-Sud,"51.1972142827759, 4.391779007128754",Point darrêt
177,Boechout,"51.16382800021025, 4.494046995460415",Point darrêt
814,Melkouwen,"51.09516390106206, 4.671208072022965",Point darrêt
732,Lierre,"51.136043685131625, 4.561775772858924",Gare
1348,Beringen,"51.05061300033612, 5.235889995190663",Point darrêt
723,Libramont,"49.920246579730915, 5.378998507237662",Gare
951,Paliseul,"49.89495830565338, 5.119206133726743",Gare
409,Florenville,"49.70723922600518, 5.331285483045566",Gare
288,Cour-sur-Heure,"50.300902576169584, 4.392087978021362",Gare
976,Pry,"50.26875846150931, 4.430333398823612",Point darrêt
1031,Saint-Denis-Bovesse,"50.52129700046284, 4.767791995303149",Point darrêt
754,Lonzée,"50.5519770649044, 4.720151428742302",Point darrêt
906,Nieuwkerken-Waas,"51.18508212815529, 4.184439116604953",Point darrêt
739,Limal,"50.69197975060142, 4.575848696298839",Point darrêt
31,Ans,"50.661190332322946, 5.509696654040328",Gare
184,Bokrijk,"50.95579545561771, 5.40857604825143",Point darrêt
324,Diepenbeek,"50.91176545452756, 5.416327540138909",Point darrêt
1151,Tongres,"50.78417812102581, 5.473981817206647",Gare
720,Leval,"50.430664764641925, 4.211414216154076",Point darrêt
649,Courtrai,"50.82441338106978, 3.26777452888312",Gare
868,Mouscron,"50.73833321108573, 3.225382514749662",Gare
1235,Wevelgem,"50.81106670342023, 3.182483665003594",Point darrêt
212,Bruges-Saint-Pierre,"51.22266042956464, 3.201678747785866",Point darrêt
261,Chastre,"50.60757596946128, 4.650130411837842",Point darrêt
855,Mont-Saint-Guibert,"50.63829834785249, 4.612709346584436",Gare
958,Péruwelz,"50.51361346500805, 3.59206286828061",Point darrêt
519,Harchies,"50.482059169230475, 3.699302076851214",Point darrêt
991,Remicourt,"50.67864344975697, 5.321422014681566",Gare
1213,Waremme,"50.6946909072976, 5.248963056889978",Gare
486,Groenendaal,"50.766147385502954, 4.449357054734751",Point darrêt
1219,Watermael,"50.80971058926985, 4.399853339646589",Gare
1670,Genk,"50.96707102023961, 5.498086693350299",Gare
157,Bilzen,"50.86868042481448, 5.509372415083996",Point darrêt
636,Kiewit,"50.95466484870577, 5.350407516296472",Point darrêt
114,Barvaux,"50.34950412861852, 5.502270043841894",Point darrêt
1113,Sy,"50.403308358061274, 5.523618360281978",Point darrêt
541,Heist-op-den-Berg,"51.073554823780476, 4.709356991022758",Gare
905,Niel,"51.11082441003055, 4.340335935217864",Point darrêt
1017,Ruisbroek-Sauvegarde,"51.081104582928326, 4.326980820033769",Point darrêt
824,Vivier dOie,"50.79612575465648, 4.373898950595172",Point darrêt
1912,Arcades,"50.80966821307966, 4.39841318213881",Point darrêt
566,Hever,"50.996400592705974, 4.540771400150177",Point darrêt
493,Haacht,"50.966262705636815, 4.61332976968172",Point darrêt
383,Evere,"50.86820656714676, 4.401355062494666",Point darrêt
1663,Haren,"50.88887089566485, 4.420030839137337",Point darrêt
1128,Tamise,"51.12598622590376, 4.221148549659076",Gare
977,Puurs,"51.07712359886562, 4.283513007680889",Gare
1034,Saint-Ghislain,"50.44273476303692, 3.82001577005146",Gare
501,Hainin,"50.42802710623119, 3.766794741616837",Point darrêt
907,Nijlen,"51.15960165609087, 4.664476042760993",Point darrêt
1232,Wolfstee,"51.16893689452469, 4.789732769739082",Point darrêt
1136,Thieu,"50.469671810995315, 4.098467909724497",Point darrêt
1744,La Louvière-Sud,"50.464993655378, 4.19010515855395",Gare
673,La Louvière-Centre,"50.47771530293195, 4.180068630396401",Gare
738,Lillois,"50.64367353107232, 4.36339470287942",Point darrêt
1218,Waterloo,"50.71553397188341, 4.383453532044176",Point darrêt
1092,Soignies,"50.57312318081812, 4.06935224523492",Gare
550,Hennuyères,"50.65091444860351, 4.176132141880637",Point darrêt
342,Ecaussinnes,"50.562363603715745, 4.156673065484736",Gare
27,Angleur,"50.612530000533305, 5.600948995019453",Gare
1195,Visé,"50.740355136577506, 5.692281362696947",Gare
832,Mévergnies-Attre,"50.60027301310445, 3.832948437258735",Point darrêt
247,Cambron-Casteau,"50.58696925769222, 3.873974629710541",Point darrêt
929,Ostende,"51.22794248176095, 2.926625863400863",Gare
1261,Zedelgem,"51.12638146000492, 3.163480495254234",Gare
743,Lissewege,"51.29470102749794, 3.194426918432402",Point darrêt
540,Heist,"51.334177497690405, 3.24048963886616",Point darrêt
210,Bruges,"51.19727306798259, 3.216852878416061",Gare
166,Blankenberge,"51.31228295043089, 3.133562308909295",Gare
216,Bruxelles-Congrès,"50.85178018171951, 4.362219760273292",Point darrêt
217,Bruxelles-Chapelle,"50.84117648219605, 4.347842850334735",Point darrêt
215,Bruxelles-Central,"50.84531101839439, 4.356758317869445",Gare
221,Bruxelles-Nord,"50.859599596992226, 4.361252318835871",Gare
220,Bruxelles-Midi,"50.83580082746913, 4.336052466526436",Gare
227,Bruxelles-Schuman,"50.84284861653259, 4.380023585984124",Gare
380,Etterbeek,"50.8213075585112, 4.390498719645379",Gare
1973,Germoir,"50.83101229836678, 4.378599139553797",Point darrêt
1260,Zaventem,"50.88563254694747, 4.469909600355977",Point darrêt
325,Diegem,"50.89062008306373, 4.441952581033991",Point darrêt
1048,Schaerbeek,"50.8786926685087, 4.378431524240697",Gare
916,Nossegem,"50.88344233246161, 4.506060557023734",Point darrêt
810,Malines,"51.017618664822756, 4.48357982828096",Gare
815,Melle,"51.00274991967655, 3.796939037253571",Point darrêt
